id,Artist Name,id_sex,id_country,id_language,id_genre,id_arist_type,Debut Year
366,Jonas Brothers,1,2,1,2,2,2006
367,Hans Zimmer,1,14,6,15,1,1977
368,Julia Michaels,2,2,1,2,1,2010
369,Deftones,1,2,1,20,2,1995
370,Clairo,2,2,1,2,1,2012
371,Whitney Houston,2,2,1,4,1,1985
372,Tove Lo,2,16,1,2,1,2006
373,DJ Luian,1,2,2,3,1,2010
374,Amy Winehouse,2,3,1,22,1,2003
375,TV Girl,1,2,1,2,2,2010
376,Tanishk Bagchi,1,9,4,9,1,2015
377,Dave,1,3,1,1,1,2015
378,Avril Lavigne,2,1,1,2,1,2002
379,Lost Frequencies,1,36,1,8,1,2014
380,Kings of Leon,1,2,1,6,2,2003
381,Joan Sebastian,1,11,2,11,1,1975
382,Alejandro Fernández,1,11,2,10,1,1992
383,Glass Animals,1,3,1,7,2,2012
384,Sachin-Jigar,1,9,4,9,2,2009
385,Fetty Wap,1,2,1,1,1,2014
386,NAV,1,1,1,1,1,2017
387,Jack Johnson,1,2,1,6,1,2001
388,SEVENTEEN,2,6,3,5,2,2015
389,The Script,1,23,1,6,2,2008
390,TINI,2,24,2,2,1,2016
391,Backstreet Boys,2,2,1,2,2,1996
392,Jimin,1,6,3,5,1,2013
393,Mambo Kingz,1,2,2,3,2,2004
394,NLE Choppa,1,2,1,1,1,2018
395,GIMS,1,37,9,1,1,2013
396,Calibre 50,1,11,2,11,2,2010
397,Chappell Roan,2,2,1,2,1,2017
398,Stevie Wonder,1,2,1,22,1,1962
399,Juicy J,1,2,1,1,1,1991
400,Mark Ronson,1,3,1,2,1,2003
401,Kelly Clarkson,2,2,1,2,1,2002
402,The Offspring,1,2,1,6,2,1989
403,Bonez MC,1,14,6,1,1,2006
404,Bibi Blocksberg,2,14,6,23,1,1980
405,Milo j,1,24,2,1,1,2021
406,Jay Wheeler,1,2,2,3,1,2019
407,felix jaehn,1,14,1,8,1,2013
408,Niall Horan,1,23,1,2,1,2010
409,6ix9ine,1,2,1,1,1,2017
410,Nate Dogg,1,2,1,1,1,1992
411,Noriel,1,2,2,3,1,2014
412,Vicente Fernández,1,11,2,11,1,1966
413,Three Days Grace,1,1,1,6,2,2003
414,Aerosmith,2,2,1,6,2,1973
415,Bee Gees,1,3,1,2,2,1963
416,Udit Narayan,1,38,4,9,1,1980
417,Piso 21,1,5,2,10,2,2012
418,Rod Wave,1,2,1,1,1,2015
419,Vance Joy,1,12,1,19,1,2013
420,Bon Iver,1,2,1,19,1,2007
421,Eslabon Armado,1,2,2,11,2,2020
422,JENNIE,2,6,3,5,1,2016
423,Russ,1,2,1,1,1,2011
424,Rae Sremmurd,1,2,1,1,2,2013
425,Jess Glynne,2,3,1,2,1,2014
426,The Smiths,1,3,1,6,2,1983
427,Eagles,1,2,1,6,2,1972
428,The Police,1,3,1,6,2,1977
429,Phil Collins,1,3,1,2,1,1981
430,The Strokes,1,2,1,6,2,2001
431,Atif Aslam,1,39,11,2,1,2002
