id_stats_game,positive,negative,price,initialprice,discount,ccu,owners_min,owners_max
12659,189,128,0.0,0.0,0,1,"50,000","100,000"
12660,53,85,6.99,6.99,0,0,"50,000","100,000"
12661,731,256,9.99,9.99,0,1,"50,000","100,000"
12662,48,1,1.99,1.99,0,0,"50,000","100,000"
12663,525,103,4.99,4.99,0,89,"50,000","100,000"
12664,783,208,14.99,14.99,0,6,"50,000","100,000"
12665,1649,115,7.99,19.99,60,10,"50,000","100,000"
12666,424,153,24.99,24.99,0,10,"50,000","100,000"
12667,372,75,9.99,9.99,0,7,"50,000","100,000"
12668,144,66,4.99,4.99,0,0,"50,000","100,000"
12669,315,34,0.0,0.0,0,0,"50,000","100,000"
12670,95,47,4.99,4.99,0,1,"50,000","100,000"
12671,1036,362,19.99,49.99,60,8,"50,000","100,000"
12672,1,3,3.99,3.99,0,0,"50,000","100,000"
12673,1541,232,11.99,11.99,0,33,"50,000","100,000"
12674,718,456,19.99,19.99,0,3,"50,000","100,000"
12675,210,46,5.99,5.99,0,0,"50,000","100,000"
12676,706,66,4.99,4.99,0,0,"50,000","100,000"
12677,3,0,4.99,4.99,0,0,"50,000","100,000"
12678,1117,98,19.99,19.99,0,3,"50,000","100,000"
12679,443,227,0.99,0.99,0,1,"50,000","100,000"
12680,295,106,29.99,29.99,0,1,"50,000","100,000"
12681,35,21,0.99,0.99,0,0,"50,000","100,000"
12682,1,1,0.99,0.99,0,0,"50,000","100,000"
12683,1658,204,19.99,19.99,0,4,"50,000","100,000"
12684,657,39,3.99,3.99,0,0,"50,000","100,000"
12685,449,115,19.99,19.99,0,5,"50,000","100,000"
12686,1961,134,1.99,1.99,0,3,"50,000","100,000"
12687,143,74,4.99,4.99,0,5,"50,000","100,000"
12688,1,0,0.0,0.0,0,0,"50,000","100,000"
12689,105,10,17.99,17.99,0,0,"50,000","100,000"
12690,7,0,0.99,0.99,0,0,"50,000","100,000"
12691,8,0,15.99,15.99,0,0,"50,000","100,000"
12692,862,94,4.99,4.99,0,1,"50,000","100,000"
12693,861,151,39.99,39.99,0,1,"50,000","100,000"
12694,333,74,8.99,8.99,0,23,"50,000","100,000"
12695,83,54,1.99,1.99,0,1,"50,000","100,000"
12696,126,13,2.99,2.99,0,0,"50,000","100,000"
12697,220,695,0.0,0.0,0,3,"50,000","100,000"
12698,279,108,9.99,19.99,50,1,"50,000","100,000"
12699,45,33,1.99,1.99,0,0,"50,000","100,000"
12700,89,69,14.99,14.99,0,0,"50,000","100,000"
12701,910,37,14.99,14.99,0,1,"50,000","100,000"
12702,515,204,0.99,1.99,50,0,"50,000","100,000"
12703,129,2,0.0,0.0,0,0,"50,000","100,000"
12704,927,113,34.99,34.99,0,9,"50,000","100,000"
12705,4,0,2.99,2.99,0,0,"50,000","100,000"
12706,1,0,2.99,2.99,0,0,"50,000","100,000"
12707,133,15,4.99,4.99,0,0,"50,000","100,000"
12708,10,1,0.0,0.0,0,0,"50,000","100,000"
12709,1,1,5.99,5.99,0,0,"50,000","100,000"
12710,1148,215,12.99,12.99,0,1,"50,000","100,000"
12711,294,14,14.99,14.99,0,1,"50,000","100,000"
12712,1105,313,0.49,0.99,51,1,"50,000","100,000"
12713,552,233,13.99,13.99,0,1,"50,000","100,000"
12714,15,0,1.99,1.99,0,0,"50,000","100,000"
12715,111,43,1.99,1.99,0,0,"50,000","100,000"
12716,37,55,2.99,2.99,0,0,"50,000","100,000"
12717,72,50,4.99,4.99,0,0,"50,000","100,000"
12718,200,63,7.99,7.99,0,21,"50,000","100,000"
12719,1019,51,7.49,14.99,50,15,"50,000","100,000"
12720,394,162,0.77,1.99,61,0,"50,000","100,000"
12721,31,7,0.0,0.0,0,0,"50,000","100,000"
12722,263,41,0.0,0.0,0,0,"50,000","100,000"
12723,28,24,9.99,9.99,0,1,"50,000","100,000"
12724,4,0,2.0,2.0,0,0,"50,000","100,000"
12725,158,207,14.99,14.99,0,0,"50,000","100,000"
