id_publisher,publisher
261,Warner Bros. Interactive Entertainment
262,Space Budgie
263,Duoyi Games
264,Vikingfabian
265,"Carx Technologies, Llc"
266,"Ninja Theory, Xbox Game Studios"
267,Remedy Entertainment
268,（Hong Kong）Gkd
269,Paradise Project
270,Studio Wildcard
271,Hasuhasu
272,Topware Interactive
273,"Fromsoftware, Inc., Bandai Namco Entertainment Inc."
274,Wishlist Games
275,1939 Games
276,Frvr
277,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts"
278,Creepy Jar
279,Bedtime Digital Games
280,Ubisoft Entertainment
281,Novalink
282,Shining Rock Software Llc
283,"Panic, Campo Santo"
284,"Proletariat, Inc."
285,Za/Um
286,Offworld
287,Desconocido
288,Sa Industry
289,"Wiplegames Inc.,"
290,"2K, Missing Link Games"
291,Arenanet®
292,"Koei Tecmo Games Co., Ltd."
293,Thunder Lotus
294,"Double Fine Productions, Xbox Game Studios"
295,Critical Reflex
296,"Frontier Developments, Aspyr (Mac)"
297,Imgn.Pro
298,Maddy Makes Games Inc.
299,Ironward
300,Smg Studio
301,"Gsc Game World (Worldwide), Sega (Japan), 4Divinity (China And South East Asia)"
302,Techland Publishing
303,Aeria Games
304,Chubby Pixel
305,"Meta Publishing, Owlcat Games"
306,Knights Peak
307,"Eidos Interactive Corp., Feral Interactive (Linux/Mac)"
308,Monomi Park
309,Eidos Interactive Corp.
310,"Square Enix, Feral Interactive (Mac)"
311,Playway S.A.
312,Freakinware Studios
313,"Funbox Media Ltd, Zoom Platform Media"
314,Kitfox Games
315,"Relic Entertainment, Feral Interactive (Mac/Linux)"
316,Moon Studios Gmbh
317,Ths
318,Daedalic Entertainment
319,Piranha Games Inc.
320,Tripwire Presents
321,Relic Entertainment
322,Corptron Games Corp.
323,Jagex Ltd
324,Netease Games
325,Creaky Corpse Ltd
326,Atari
327,Blackspot Entertainment
328,"Team17, Veewo Games"
329,Frontier Foundry
330,"Freebird Games, Serenity Forge"
331,Naivus Luo
332,Snoutup
333,Nexon Korea Corp. &Amp; Nexon America Inc.
334,Fellow Traveller
335,Balor Games
336,Opneon Games
337,"7Th Beat Games, Indienova"
338,Onyx Lute
339,Nttgame
340,Amplitude Studios
341,10 Chambers
342,Spearhead Games
343,"Cygames, Inc., Cygames Korea Inc."
344,"Lucasarts, Aspyr (Mac), Disney, Lucasfilm"
345,Techworld Communication
346,Duhndal
347,Openttd
348,Clever Endeavour Games
349,Spiderling Studios
350,"Op Productions Llc, Free Reign East Llc"
351,Carbon Games
352,Kalypso Media Digital
353,Ammobox Studios
354,Ddnet Team
355,Futurlab
356,Another Axiom Inc.
357,Lavaflame2
358,Ndemic Creations
359,Kiss Ltd
360,Steel Crate Games
361,Superhot Team
362,Greenheart Games
363,Cyberlight Game Studio
364,"Sega, Feral Interactive (Linux), Feral Interactive (Mac)"
365,Kalypso Media
366,Codename Entertainment Inc.
367,"Lion Shield, Llc"
368,Digipen Institute Of Technology
369,Blackmill Games
370,"Eidos Interactive Corp., Feral Interactive (Mac)"
371,Steelraven7
372,Beamdog
373,Kayanimate
374,Warpfrog
375,Panic Art Studios Ltd
376,Skullcap Studios
377,The Irregular Corporation
378,"Dovetail Games - Trains, Dovetail Games"
379,Perfect World Entertainment
380,Kyle Seeley
381,Total Mayhem Games
382,Ziggurat
383,Blazing Griffin
384,Lamedeveloper
385,Move On Usa Co.
386,Firefly Studios
387,"Lucasarts, Lucasfilm, Disney"
388,Pillow Castle
389,Omeda Studios
390,"Indieark, Shochiku (Japan)"
391,Akupara Games
392,"Sega, Feral Interactive (Mac)"
393,Sad Panda Studios
394,Playful Corp.
395,Bethesda
396,"Codemasters, Electronic Arts"
397,Wolcen Studio
398,Bandai Namco Entertainment Inc.
399,Arc System Works
400,Neverland Entertainment
401,"Brace Yourself Games, Klei Entertainment"
402,Doctor Entertainment Ab
403,Playa Games Gmbh
404,"Bat Country Games, Llc"
405,"Infogrames, Atari"
406,Acureus
407,Redaster Studio
408,"Unknown Worlds Entertainment, Krafton, Inc."
409,Snowbird Games
410,Boss Key Productions
411,Eugen Systems
412,Gsc Game World
413,Panic
414,"Grapeshot Games, Snail Games Usa"
415,Neowiz
416,Microsoft Studios
417,Fish Factory Games
418,Edmund Mcmillen
419,"Fireshine Games, Bilibili"
420,New Reality Games
421,"Next Studios, 505 Games"
422,Back To Basics Gaming
423,Intiny
424,"Blizzard Entertainment, Inc."
425,Nexon America Inc.
426,Neocoregames
427,Siege Camp
428,Bilibili
429,Ankama Games
430,"Jumpstart Games, Inc."
431,Osumia Games
432,"38 Studios, Electronic Arts"
433,Codebrush Games
434,"Sega, Feral Interactive (Mac/Linux)"
435,Trapdoor
436,"Fyqd-Studio, Playism"
437,Frost Giant Studios
438,Hyperreuts
439,Digital Bandidos
440,Versus Evil
441,Ovalis Investments Limited
442,Usm
443,South East Games
444,Frogwares
445,Tour De Pizza
446,Fluppisoft Gmbh
447,Egosoft
448,Reperio Studios
449,Ironmonger Games
450,Miju Games
451,Perfect World Games
452,Flashbulb
453,"Mrfatcat, Dropsiick"
454,Unreal Software
455,Hfm Games
456,Consumer Softproducts
457,Łukasz Jakowski Games
458,Clock Wizard Games
459,Good Shepherd Entertainment
460,Rubberbandgames
461,D3Publisher
462,"Lucasarts, Lucasfilm, Aspyr (Mac, Linux)"
463,"Yogscast Games, Gamersky Games"
464,Alawar
465,"Devolver Digital, Croteam"
466,Pixile
467,"Versus Evil, Obsidian Entertainment, Xbox Game Studios"
468,Projectmoon
469,Ci Games
470,Supergg.Com
471,Jagex Limited
472,Saber Interactive Inc
473,Team17 Digital Ltd
474,Toplitz Productions
475,Gravity Interactive
476,Milkstone Studios
477,Scottgames
478,Mossmouth
479,"2K, Aspyr (Mac)"
480,Those Awesome Guys
481,Stress Level Zero
482,"Prime Matter, Deep Silver"
483,"Green Tile Digital, Thq Nordic"
484,Runestorm
485,Genesz
486,Number None
487,Rusty Lake
488,Neon Doctrine
489,Igara Studio
490,"Exor Studios, Surefire.Games"
491,"Focus Entertainment, 4Divinity"
