id_developer,developer
3220,Samurai Games
3221,Open Mid Interactive
3222,Wishfully
3223,101Xp Game Studios
3224,"Snk Corporation, Abstraction Games"
3225,Red Storm Entertainment
3226,Yfc Games
3227,Tdgame Studio
3228,Action Square(Studio Hg)
3229,Oddshot Games
3230,Pavo Studio
3231,Capstone Software
3232,"Cyan Worlds, Inc."
3233,Squareanon
3234,"Zezenia Online, Saucer Software"
3235,Black Shell Games
3236,Liuguowang
3237,Catnip
3238,Coal Supper
3239,"Sastrei Studios, Llc"
3240,Invader Studios
3241,Studio Monolith
3242,Another Story
3243,Grasshopper Manufacture Inc.
3244,"Qloc, Bandai Namco Studios Inc."
3245,Esp Games
3246,Old Moon
3247,Lion Game Lion
3248,Irrational Games
3249,Pingfang Games
3250,Chillyroom
3251,Encircle Games
3252,Playrise Digital Ltd.
3253,Pontypants
3254,Joybits Ltd.
3255,Cleverweek
3256,Hex Entertainment
3257,Endless Loop Studios
3258,"Nostalgia Hound, Pigravity"
3259,Lovely Hellplace
3260,Tuque Games
3261,Sad Owl Studios
3262,Team Woll
3263,"Konami Digital Entertainment Co., Ltd."
3264,Ckolmos Narrative.
3265,Xyak-Xyak
3266,Kevin Ryan
3267,Visai Games
3268,Weed Games
3269,Just Purkey Games
3270,Free Wing
3271,Noumena Studios
3272,Wet Girl
3273,Betagames Group
3274,Ragequit Corporation
3275,Ellinia Games
3276,Krome Studios
3277,Idol Fx
3278,"Terletski Games, Rikanimation"
3279,Gaga
3280,"Factor 5, Lucasarts"
3281,Orange_Juice
3282,Gamexp.Com
3283,"Daedalic Entertainment, Irresponsible Games"
3284,Just2D
3285,Metropolis
3286,Liv Inc
3287,Game Developer X
3288,Vanguard Games
3289,Bigmoon Entertainment
3290,Grabthegames Studios
3291,Obsessionsoft
3292,Busan Sanai Games
3293,Fallen Flag Studio
3294,Ipacs
3295,Endless Project Games
3296,Atomic Kraken
3297,Sugarcane Games
3298,Shorebound Studios
3299,Team Wiby
3300,Take It Studio!
3301,Team Sorcerobe
3302,Robi Studios
3303,The Foregone Syndicate
3304,Lucky Pikinini
3305,Studio Inkyfox
3306,Gallocus
3307,Witching Hour Studios
3308,No Ceiling Games
3309,Omniconnection
3310,Sp Games
3311,Rhinotales
3312,Grin
3313,Cleversan Games
3314,Diezelpower
3315,Triple.B.Titles
3316,Shadowwolf Games
3317,E-Line Media
3318,The Wandering Band Llc
3319,Hitcents
3320,Igor Uduslivii
3321,Black Sea Studios Ltd
3322,Geekspree
3323,Allicorn Games
3324,Jujubee S.A.
3325,Pendulo Studios
3326,狮子
3327,Exosyphen Studios
3328,The 3Do Company
3329,1001 Studio
3330,648工作室
3331,"Dream Operator, Oksana Bula"
3332,Silver Lining Studio
3333,Xdesktopsoft
3334,"Piotr Wolk, Star Drifters"
3335,"Engine Software, Ubisoft Montreal, Ubisoft Chengdu, Ubisoft Pune Production"
3336,New Story Games
3337,"Altspacevr, Inc."
3338,"Midboss, Llc."
3339,Lovely Games
3340,Fruit Postal Service
3341,Aixlab
3342,Increpare Games
3343,Q-Games Ltd.
3344,Net Games Laboratory
3345,Lucas Cavataio
3346,Sharkbird
3347,Siactro
3348,Oblone Software
3349,"The Studio Of Secret6, Inc."
3350,Different Tales
3351,Inverse Game
3352,Joakim Sandberg
3353,Crisis Cleaver
3354,Andy Makes
3355,Emre Erensoy
3356,致意
3357,Red Dwarf Games
3358,Goblinz Studio
3359,"Tony Chan, Hugo Fu"
3360,Kl Games
3361,Nvizzio Creations
3362,Demolidor Studio
3363,Yin Games
3364,30.06 Studios Ltd
3365,Whatboy Games
3366,"Wayforward, Abstraction Games"
3367,"Wales Interactive, Good Gate Media"
3368,"Fyre Games, Conner Rush"
3369,Biart Company Llc
3370,Kyle Pulver
3371,Iron Tower Studio
3372,Sandstorm Studios Inc.
3373,Iriysoft
3374,"インレ, Inre"
3375,Flamebait Games
3376,"Honor Code, Inc."
3377,Pie On A Plate Productions
3378,Rockstar San Diego
3379,"Big Sandwich Games, Stratecade Llc"
3380,Giorgi Abelashvili
3381,Mason Lindroth
3382,Perfect Parallel
3383,Exit Plan Games
3384,Mirillis
3385,Midgar Studio
3386,Nezos Games
3387,Little Big Lee
3388,Mono Studio
3389,Joy Impact
3390,Sobaka Studio
3391,Kevin Wacknov
3392,"Egor Magurin, Eugene Radaev"
3393,Popcannibal
3394,07Th Expansion
3395,Eternal Night Studios
3396,"Wevr, Inc."
3397,天津芸芸科技有限公司
3398,Gupa Games
3399,Cipher Prime Studios
3400,Prideful Sloth
3401,Class Of  2016-2017
3402,Improx Games
3403,Bitfall Studios
3404,Ostrich Banditos
3405,Hakjak
3406,Archpray Inc.
3407,Bravewolf
3408,Gaijin Games
3409,Roboqlo
3410,Umeo Studios
3411,Blackfire
3412,Dobra Studios
3413,Lapovich
3414,Suzuki Suzuzou
3415,Unlimited Fries
3416,Demibug
3417,Neversoft
3418,Black Rock Studio
3419,Ioa Games
3420,Simple Blue
3421,White Dog Games
3422,Hydravision Entertainment
3423,Best Way
3424,B4T Games
3425,Grundislav Games
3426,"Mario Von Rickenbach, Michael Frei"
3427,Notorious Studios
3428,Konnichiwa Games & Media
3429,"Simon Boxer, Twice Different"
3430,Inkle Ltd
3431,"Roel Van Beek, Jurgen Hoogeboom, Joppe De Graaf, Jesper Van Den Ende"
3432,Pysl
3433,Upjers
3434,Restory Studio
3435,Something We Made
3436,"Jw, Kitty, Jukio, Dom"
3437,Ancient Forge Studio
3438,Mega Cat Studios
3439,Tetrascope
3440,Shadow Planet Productions
3441,"Game Arts Co., Ltd., Sickhead Games, Llc"
3442,Interaction Studios
3443,Crocodile And Cactus
3444,Leikir Studio
3445,N3V Games
3446,Y.Kageyama
3447,Shining Gate Software
3448,Vidas Salavejus
3449,Carlsen Games
3450,Ayacat Games
3451,"Blueteak, The Engine Company, Shapes And Lines, Arcturus Interactive, The Quantum Astrophysicists Guild"
3452,Gibar
3453,Roastery Games
3454,Think Arcade
3455,Straight Right
3456,Unicube
3457,Andrew Simon Thomas Llc
3458,Lateralis Heavy Industries
3459,Snoozy Kazoo
3460,Pixelsplit
3461,Mobigrow
3462,Ole Lange
3463,Black Flag Studios
3464,Dan Walters
3465,Almighty Games
3466,Clauzen Entertainment
3467,"Mahhaon, Art-Arcade, Sun Pixel"
3468,Jun Yang
3469,"Paladin Studios, Stormbound Games"
3470,Konstructors
3471,Ritual Entertainment
3472,New80Sgamestudio
3473,Cr3 Studio
3474,Clarus Victoria
3475,Ediogames
3476,Toraiki
3477,"Tecopark, Gemdrops, Inc."
3478,Peanut Button
3479,Kafi
3480,Silentfuture
3481,Nexus Game Studios
3482,Adobe
3483,"Andrewdrumov, Sanke Berdochan"
3484,Cobra Mobile
3485,"Signal Studios, Krome Studios"
3486,Zero Gravity
3487,"Too Kyo Games, Media.Vision Inc."
3488,Lightsoutgames
3489,"B Michael B, Chainwave Games, Blake Gillman"
3490,"Jorgen Games Ltd, Oliver Josh"
3491,"Squeaks D'Corgeh, Cogware Games"
3492,"Hourences, Grip Games"
3493,Active Fungus Studios
3494,"Monumental, Llc"
3495,Shimobashira Workshop
3496,Team Curiosity ✦
3497,Archor Wright
3498,Robert Yang
3499,Flipline Studios
3500,Bitbox Ltd.
3501,"Ludosity, Remar Games"
3502,Excellent Rectangle
3503,Urban Wolf Games Inc.
3504,Кико
3505,Blender Games
3506,I-Illusions
3507,刨冰团工作室
3508,Cyberlore
3509,Team 6 Studios
3510,Polyslash
3511,"Rogueside, Claeysbrothers"
3512,"Saman Bemel-Benrud, Micah Fitch, Tom Lubanovic"
3513,Kylotonn
3514,Twisted Corridor
3515,Foampunch
3516,"Cryptic Sea, Edmund Mcmillen"
3517,Humanature Studios
3518,Terapoly
3519,Team17 Digital
3520,榭季生
3521,Tequila Works
3522,Magnum Scriptum
3523,"高考恋爱委员会, 橘子班"
3524,Spark Plug Games
3525,Cinemax Games
3526,"James Sager Iii, Steve Reynolds, Lokesh Dhanger"
3527,Karat Studios
3528,Lei
3529,Battlecruiser Games
3530,R2 Gamestudio
3531,Cyanide Montreal
3532,Lee Sang
3533,Last Bite Games
3534,Alawar Dreamdale
3535,Mighty Kingdom
3536,Signal Studios
3537,Dut Studio
3538,"Pumpkin Studios, Underdone Gaming, Warzone 2100 Project"
3539,Madison Karrh
3540,Dotbunny
3541,Slant Six Games
3542,Evil Twin Artworks
3543,Sbsoftlab
3544,Girlgames
3545,Neko Game
3546,The Men Who Wear Many Hats
3547,Team Stargazer
3548,Wenkly Studio Sp. Z O.O.
3549,Indomitus Games
3550,Lonely Troops
3551,General Arcade
3552,Longyou Game Studio
3553,Jo-Mei Games
3554,"Jetdogs Studios, Fineway Studios"
3555,"Wishes Ultd., Greg Lobanov, Alexis Dean-Jones, Lena Raine, Madeline Berger, A Shell In The Pit"
3556,So Far So Good
3557,"Koboldgames, Daedalic Entertainment"
3558,Loveshack Entertainment
3559,Softcowgames
3560,Black Lab Games
3561,Hellscape Games
3562,Ganz Studio
3563,Ja Game Studio
3564,Feperd Games
3565,Quadfix Games
3566,"Modern Visual Arts Laboratory, Seo Inseok"
3567,Taranasus
3568,Denis Galanin (Mif2000)
3569,Pelican Party Studios
3570,Ludosity
3571,Sunset Visitor 斜陽過客
3572,4Rtisans
3573,Succubella Games
3574,"Jdm4Ik, Droid Riot"
3575,The Secret Games Company
3576,"Bit Blot, Llc"
3577,Nicholas Rizzo
3578,Pinaattikeitto
3579,Ouadi Huard
3580,Sick Puppies
3581,Sneaky Bastards
3582,Redbedlam
3583,Winning Streak Games
3584,Radiation Blue
3585,Sinned Games
3586,Handelabra Games Inc.
3587,Jason Swisher
3588,Argonautics
3589,Cbgames
3590,红渊
3591,Daniel Jonathan Bourke
3592,Coatsink
3593,Zemunbre
3594,Parta Games Oy
3595,Too Kind Studio
3596,熊窝Dodox
3597,David Amador
3598,Lingrimm
3599,Altar Interactive
3600,"Bit Kid, Inc."
3601,Headhunters Games
3602,"Flying Oak Games, E-Studio"
3603,"「森霊」- Forest Spirit, Lonedev"
3604,Dylan White
3605,Outlands
3606,"Aarne ""Mekaskull"" Hunziker"
3607,Political Games Llc
3608,The Mustard Corporation
3609,Cultic Games
3610,"Anatoliy Loginovskikh, Аlexandr Telminov"
3611,Kurenaibook
3612,"Ian Maclarty, Jon Kerney"
3613,Nimbly Games
3614,T-Bull
3615,"Fat Bomb Studios, Llc"
3616,Shadow Development
3617,The Very Big Fish Games
3618,Vantan Game Academy
3619,Soda Den
3620,Born Ready Games Ltd.
3621,Officialandy
3622,Acute Games
3623,Interactive Fate
3624,"Dejobaan Games, Llc"
3625,Sigonheart Games Llc
3626,Morbidware
3627,Eggtooth Team
3628,Range10 Interactive
3629,5D6 Games
3630,"Alawar, Mirball Games"
3631,"Gabe Cuzzillo, Bennett Foddy, Maxi Boch"
3632,"Jetdogs Studios, Zoom Out Games"
3633,Crazy House
3634,"Bandai Namco Studio, Shift, Qloc"
3635,Moolion
3636,Jam Productions
3637,Sir Bedlam Productions
3638,Digifox
3639,Mehan Games
3640,Trinity Team
3641,Dreamteam Mobile
3642,Sinclair Strange
3643,Kleskby
3644,Reverse Impact
3645,Flavourworks
3646,Yodubzz Studios
3647,Fishcow Studio
3648,Francois Roussel
3649,Infinigon
3650,Eraytek
3651,Felix Laukel
3652,Jasozz Games
3653,"Rudolf Kremers & Alex May, Tuna"
3654,"Neople Inc., Arc System Works, Eighting Co., Ltd."
3655,Laundry Bear Games
3656,Asteroid Game Studio
3657,Origin8 Technologies Ltd.
3658,Wmy Studio
3659,Yifang Studio
3660,"Get Up Games, Iceberg Interactive"
3661,Dipl. Ing. Rolf-Dieter Klein
3662,Three Whales Studio
3663,Synapse Games
3664,Sgalien.Software.Us
3665,Hotloop
3666,Longplay Studios
3667,Cc Arts
3668,Romantic Room
3669,Teku Studios
3670,Alphawing Inc.
3671,Big Loop Studios
3672,Limasse Five
3673,Interior/Night
3674,Tomasz Wacławek
3675,Twowizards
3676,5 Bits Games
3677,Robot Loves Kitty
3678,"James Montgomery, Daniel Paez, Jeff Jackman, Lance Montgomery, Michael Nova"
3679,"Trey Powell, Jason Bond"
3680,Steel Monkeys
3681,Ppc
3682,Florastamine
3683,Eightyeightgames
3684,Megagon Industries
3685,Hyper Games
3686,Metalhead Software Inc.
3687,"Xefier Games, Hillcrest Games Inc."
3688,Magics
3689,Northway Games
3690,Majaja
3691,For Fun Labs
3692,Curfluffle
3693,Chibig
3694,Technomancy Studios
3695,G2Crew
3696,Ascalon Games
3697,Spellgarden Games
3698,Quaint Emerald
3699,Cauldron
3700,Luminy Studios
3701,Mgp Studios
3702,Survivance
3703,Pixelnest Studio
3704,Mighty Rocket Studio
3705,Nerdook Productions
3706,Coronado Games
3707,George Mandell
3708,Matt Newell
3709,Ragged Games
3710,Simon Fredholm
3711,"Hassey Enterprises, Inc."
3712,Lil Hentai Games
3713,Ian Isaro
3714,Delayed Victory
3715,"Bitmap Brothers, Vivid Games"
3716,Decaying Logic
3717,Old School Vibes
3718,Nstuff Entertainment
3719,Oxide Games
3720,"Wishes Ultd., Greg Lobanov, A Shell In The Pit"
3721,Montebearo
3722,"Zaxis Games, B-Evil"
3723,"Phenomic, Thq Nordic"
3724,Kouri
3725,"The Bratans, Smola Game Studio"
3726,Unbound Creations
3727,Camagames
3728,"Grasshopper Manufacture Inc., Engine Software Bv"
3729,Daniel Long
3730,Wolvesville Gmbh & Co. Kg
3731,Magdalenateam
3732,Spooky Squid Games Inc.
3733,Bitrich.Info
3734,Gridpop
3735,Digipen Europe-Bilbao
3736,Al Fine
3737,Nik
3738,Satosha Nakamoti
3739,Jetdogs Studios
3740,The Quadsphere
3741,Vidiludi Games And Entertainment
3742,Gal Mamalya
3743,Whoop Group
3744,Jacob Janerka
3745,Coldrice Games Llc
3746,Nuked Cockroach
3747,Zerobit Games
3748,Raspina Studio
3749,Heartfun
3750,"Trevor Sorensen, Mark Baldwin"
3751,Catos Game
3752,Goricina Productions
3753,Devdan Games
3754,Guiliam
3755,Iubisoft System Srl
3756,Finn Schuuring
3757,Corinthine
3758,Seafront Games
3759,Not A Sailor Studios
3760,"Krita Team, Krita Community Contributors"
3761,Sayan
3762,Rainbow Studios
3763,Cavemanon
3764,Joshua Nuernberger
3765,Fx Games Media
3766,Pixel Titans
3767,Focusd Io
3768,Shroudy Software
3769,"Lucid Games, Aspyr (Linux)"
3770,格林达姆136工程团
3771,Hitech Creations Inc.
3772,Dreampainters
3773,Bizarre Creations
3774,Vorobiov Vadym
3775,Abraham Carreola
3776,Play Cute
3777,Black Shell Media
3778,Trickjump Games
3779,"Paul Hart, Lee Williams, Akupara Games"
3780,Npk Games
3781,Acme Gamestudio
3782,Theta Division
3783,Quasar
3784,White Paper Games
3785,Kaigan Games
3786,Rock Pocket Games
3787,Eugene Zubko
3788,Alexander Cirac Antio
3789,Overseer Games
3790,Counterplay Games Inc
3791,Wessel Stoop
3792,Skrollcat Studio
3793,Checkmaty
3794,Liquid Dragon Studios
3795,Slitherine Ltd.
3796,Ubisoft Romania
3797,Derrick Davison
3798,Nitro Games
3799,Monstrum
3800,Reloaded Studios
3801,Parabole
3802,Rmal
3803,"Cfk Co., Ltd."
3804,Teedoubleugames
3805,"Sewer Cat, Heavy Sheep"
3806,"Armature Studio, Llc, Comcept"
3807,2 Monkeys
3808,Watashi Games
3809,Katsu
3810,Bancyco
3811,Mighty Coconut
3812,Chicken Launcher
3813,Serious Sim
3814,Beautifun Games
3815,Wtfomgames
3816,Gamecan
3817,Idea Factory
3818,Blacc Ski Weekend Industries
3819,Somethingextra
3820,Pencil Test Studios
3821,Goldfire Studios
3822,Dakecraft
3823,L3O Interactive
3824,Michael Todd Games
3825,M506 Tec
3826,Golemlabs
3827,Friedemann
3828,Wormwood Studios
3829,Pumpernickel Studio
3830,Trebuchet
3831,Doinksoft
3832,Coilworks
3833,"Sledgehammer Games, Treyarch, High Moon Studios, Raven Software, Beenox, Demonware"
3834,Reactor Studios
3835,Sketchy Realms
3836,Nepos Games
3837,Ankaar Productions
3838,"Wins_84, Gamebalance"
3839,Night Node Software
3840,Red Team Games
3841,Swing Swing Submarine
3842,"Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen"
3843,All In! Games
3844,Storm_Sharks
3845,"Holy Warp, Black Wing Foundation"
3846,Primal Game Studio
3847,Zilong Game Limited
3848,Otl Game
3849,狐の旅路制作组
3850,Siriusstudio
3851,Swordtales
3852,Firedanger Studio
3853,Daniel Linssen
3854,Graphite Lab
3855,Cow Game
3856,Rask
3857,Remedy
3858,Asmodee Digital
3859,Ratloop Games Canada
3860,Three Eyed Games
3861,Fitxr
3862,Wadjet Eye Games
3863,2Sd
3864,"Sansar, Inc"
3865,"Iwplay World Interactive Entertainment Technology Co., Ltd."
3866,上海アリス幻樂団
3867,Itbt Studio
3868,Bold Spirit Game Studio
3869,Radatomic Studios
3870,"Square Enix, D4Enterprise Co.,Ltd."
3871,Neuronhaze
3872,Hidden Crawlspace Studios
3873,Archetype Studios
3874,Chimera Entertainment
3875,So Romantic
3876,Gamedevs For Bernie
3877,Parallel Portal
3878,Simtex
3879,Avallon Alliance
3880,Aliasblack
3881,"Asobism.Co.,Ltd"
3882,Optillusion
3883,Giraffe Lab Llc
3884,Bigosaur
3885,"Weston Mitchell, Pandan Games"
3886,Lumbernauts
3887,Quantized Bit
3888,Loren Lemcke
3889,Chi Entertainment Corp.
3890,Matt Hooper
3891,Niffler Ltd.
3892,Btf
3893,Strange Scaffold
3894,Digital Eel
3895,Artplant
3896,Cleversan Software
3897,喜人一个
3898,Dreamescape
3899,Rival Games Ltd
3900,Cbe Software
3901,"Twinbeard, Inc."
3902,Wonderbelly Games
3903,"Escalation Studios, Four Quarters"
3904,Cold Tea Studio
3905,"Inkle Ltd, Cape Guy Ltd"
3906,Dharker Studios
3907,Flashynurav
3908,Playfusion
3909,Wildwood Game Studios
3910,Washbear Studio
3911,"Cd Projekt Red, Can Explode"
3912,Computer Artworks
3913,Polychroma Games
3914,Crablacksmith Studios
3915,Barnes
3916,Jerseyware Gaming
3917,Rabbit & Bear Studios
3918,Ulysses Games
3919,Infinitap Games
3920,T3Entertainment
3921,Aquaheaven Studios
3922,Sungjunjo
3923,Deck13 Hamburg
3924,Littlefield Studio
3925,Marion Surgical Inc.
3926,Elven Workshop
3927,Adog
3928,"Ωstar, Seikei Production"
3929,Arcane Raise
3930,Yemunetwork
3931,Creobit
3932,Drive Beyond Horizons
3933,Galvanic Games
3934,Team Dots
3935,Punch Punk Games
3936,Santa Ragione
3937,Robert Borghese
3938,Cliffhanger Productions
3939,"Ty Taylor, Spotted Zebra, Justin Nafziger, Vega Castañeda"
3940,Sunil Sutariya
3941,Ripstone
3942,Valsar
3943,Redboon
3944,Bekho Team
3945,10F
3946,Suncyan Studio
3947,Kluge Interactive
3948,"Dan Fornace, Pizza Freak"
3949,Npckc
3950,Magic Fountain Studio
3951,Sushee
3952,Pierre Vandermaesen
3953,Omega Gaming Llc
3954,Freaking Games
3955,Little Bear Studios
3956,It Territory
3957,The_Kiddy
3958,"Mayhem Studios, Zoom Platform Media, Jordan Freeman Group"
3959,Pro Playa Dev
3960,Maqna Interactive Ltda
3961,"Grace Bruxner, Thomas Bowker"
3962,Rubycone
3963,Metalstar Studio
3964,Skirmish Mode Games
3965,属音制作组
3966,Gnisoft
3967,Microprose
3968,Gdstudio
3969,"Tilted Mill Entertainment, Inc."
3970,Dee Dee Creations Llc
3971,Trinket Studios
3972,Tangrin Entertainment
3973,Bit Fox Den
3974,Four Winged Studio
3975,Wonderscope Games
3976,"Yggdrazil Group Co.,Ltd"
3977,Empty Clip Studios
3978,Royal Rudius Entertainment
3979,Fuero Games
3980,Jni Games
3981,Mothership Entertainment Llc
3982,Anima Project
3983,Robotality
3984,Toasty Leaf Ab
3985,"Uaqyt Maсhine, 7Dots"
3986,Alice In Dissonance
3987,"Stepford, Andyland, Milkypossum"
3988,Bulbware
3989,Team Eye 4 Eye
3990,Pikpok
3991,Dusk Wave Arts Llc
3992,Amata Games
3993,Real Co.Ltd
3994,Monkeys Tales Studio
3995,Triple Eye Games
3996,Blind Squirrel Entertainment
3997,Pixel Gangsta Studio
3998,Untame
3999,Fallen Snow Studios
4000,Seedwall
4001,"Ladomu, Angels Blue Digital Entertainment, Digitalez"
4002,Amonga99
4003,Conatus Creative Inc.
4004,Robert Alvarez
4005,"Edmund Mcmillen, James Id"
4006,Norrman Brothers
4007,Edym Pixels
4008,Newgen
4009,Gamezoo Studio
4010,Edvar Studio
4011,Ionfx
4012,"Deceptive Games, Gavin Powell"
4013,Wingjoy Games
4014,Unbegames
4015,"Schell Games, Innersloth, Robot Teddy"
4016,Darjeeling
4017,Helmet Games
4018,Elder Games
4019,Pinblend Studios
4020,North Of Earth
4021,Bsk Games
4022,Omega
4023,Shota Kasai
4024,Kozhakov
4025,All Seeing Eye Games
4026,Domesticated Ant Games
4027,Volok Games
4028,"Radial Games Corp, Dejobaan Games, Llc"
4029,Brave Rabbit Games
4030,Insertdisc5
4031,Sky Machine Studios
4032,Disco Entertainment
4033,Widdershins
4034,The Ito Project
4035,Rootless Studio
4036,Totally Games
4037,Mantaliss
4038,"Games Incubator, Hypnotic Ants"
4039,Dream Reactor
4040,Proximity Games
4041,Technotal
4042,Rosebud Games
4043,Reum Entertainment
4044,Vladimir Shlapak
4045,Lion Sized Studios
4046,Pawel Zajac (Artbarian Games)
4047,Shieldbearer Studios
4048,Anvate Games
4049,"Andrei Cretu, Giacomo Autili, Tomer Barnea"
4050,The Drone Racing League
4051,Black Sea Games
4052,Muifwego
4053,Paweł Mogiła
4054,Tragnarion Studios
4055,Flynn'S Arcade
4056,Games Foundry
4057,Funtime
4058,Altari Games
4059,Altered Orbit Studios
4060,"Rodeo Games, Twistplay"
4061,"Aardman Animations, Digixart"
4062,One Bit Studio
4063,Kiwiwalks
4064,Icy Donut
4065,"Talia Bob Mair, Nicolás Delgado"
4066,Granzella Inc.
4067,"Cygames, Inc., Grounding Inc."
4068,Doublethink Studio
4069,Refugium Games
4070,"Intrepid Studios, Inc."
4071,Excalibur
4072,Games Of Tomorrow Gmbh
4073,Playcoo
4074,Grayfax Software
4075,"Richmakegame, Colin Northway"
4076,Frecle
4077,Peach Pie Productions
4078,黄昏フロンティア
4079,Halfbrick Studios Pty Ltd
4080,Smac Games
4081,Treasure
4082,"Dinamic Software, Imperivm World"
4083,Gibier Games
4084,Ludic Studios
4085,2015
4086,Studio48
4087,Eric L.
4088,Dosane Games
4089,Digital Reality
4090,Blind Recluse
4091,Studio Wasabi
4092,Fourattic
4093,"Kairosoft Co.,Ltd"
4094,"Square Enix, M2 Co., Ltd."
4095,Duoyi
4096,Thunder Devs.
4097,"Nina Demirjian, Sean Park, Sean Porio"
4098,Puzzling Dream
4099,"Milan Kazarka, Jeroen Van Oosten"
4100,Pastagames
4101,Chuck Productions
4102,Shield Break Studios
4103,Wos Development Team
4104,"Arain, Syldris, Azuresouls, Sinacs, Mochislime"
4105,Kitungo Studios
4106,Dale Turner
4107,"Shenzhen Huanjing Technology Co.,Ltd"
4108,Vanimals
4109,Alcedo Games
4110,Daniel Paul Griffin
4111,Soda Game Studio
4112,Leap Studio
4113,Moose Attack Studios
4114,Natsumeatari
4115,"Idle System, Inc."
4116,Strangelight Games
4117,Bulldog Interactive
4118,Thinmatrix
4119,Kukouri
4120,Doublebear Productions
4121,Ovosonico
4122,Hammerfire Interactive
4123,大吉利制作组
4124,Rafael Farias
4125,René Rother
4126,Llama Software
4127,Landauer Games
4128,Soundandfurygames
4129,Kovalim
4130,Anomaly Games
4131,Table 9 Studio
4132,Lychee Game Labs
4133,Polyamorous
4134,Fishermangamedev
4135,Naga Entertainment
4136,"Atomic Fabrik, Cristian Manolachi"
4137,Arrowiz
4138,8A Studio
4139,Lose
4140,Weird And Wry
4141,Tapblaze
4142,Creepy Brothers
4143,Yeo
4144,Fleon Games
4145,Sidequestnz
4146,"Crespirit, Gemayue, Ein Lee"
4147,Lappi Soft
4148,Flashback Games
4149,Latent Malice
4150,Gamelooper
4151,Team Halfbeard
4152,"Ganbarion Co., Ltd."
4153,Coreplay Gmbh
4154,Albino Moose Games
4155,"Ritual Entertainment, Nightdive Studios"
4156,Still Running
4157,Arkavi Studios
4158,Daylight Studios
4159,"Ice-Pick Lodge, General Arcade"
4160,Pgn Inc
4161,Four Leaf Studios
4162,Free Reign Entertainment Llc
4163,Illusion
4164,Antizero Company
4165,"Ubisoft Bulgaria, Ubisoft Montpellier"
4166,Midnight Party
4167,Autotelic Games Llc
4168,"Zimad, Inc."
4169,Massive Development
4170,Akella
4171,Andriy Bychkovskyi
4172,Corebeast Interactive
4173,Innogames
4174,Darkmatter Games
4175,Action Squad Studios
4176,Frogames Sl
4177,Anders Grube Jensen
4178,Big Ant Studios
4179,Invertmouse
4180,Flipswitch Games
4181,Justin Wade
4182,Hypergryph
4183,Battlebrew Productions
4184,Rockodile
4185,Ares Dragonis
4186,Petit Depotto
4187,Phoenix Labs
4188,"Hyde, Inc."
4189,Stegosoft Games
4190,Chaos Minds
4191,Artifex Mundi
4192,Cosmic Logic
4193,Game Studio Inc.
4194,Happy Broccoli Games
4195,Bling Bling Games Gmbh
4196,Kodera Software
4197,Pixel Trickery
4198,"Focka Games, Ilcoin Development Team"
4199,Critters Collective
4200,Fridus
4201,Turquoise Revival Games
4202,Cubic Pie
4203,Forbes Consult Ltd
4204,Milpitians
4205,Nupixo Games
4206,"Good Games, Creobit"
4207,Enki
4208,Nude Maker
4209,Piece Of Cake Studios
4210,Historyaccuratedevelopers
4211,Digitality Games
4212,Joeveno
4213,Maeth
4214,Kinto Games Llc
4215,Bolingogames
4216,Aehmttw (Matei Budiu)
4217,"Zerone Games, Dawson Dewulf"
4218,Super Bit Machine
4219,Alecubicsoft
4220,Netmarble Neo
4221,Singta Inc.
4222,Aden Interactive
4223,Hakababunko
4224,Ultra Ultra
4225,Darkelite Studio Inc
4226,Sentinel Studios
4227,Tin Man Games
4228,Frog Vibes
4229,Deadsteel Studio
4230,Sunblink
4231,Ilogin Studio
4232,"Fancy Fish Games, Snöbox Studio"
4233,Storytaco
4234,Laush Dmitriy Sergeevich
4235,"Alliance Arts, Unknownx"
4236,Cranky Watermelon
4237,Tomyhorst
4238,Fervent
4239,Magnolia Art
4240,Dracula Bytes
4241,Philips P.O.V. Entertainment Group
4242,Foam Entertainment
4243,Xuzhou Getai Trading Co. Ltd
4244,Aratog Llc
4245,Binary Zoo
4246,Rafael Burgos
4247,Carrot Studios
4248,Bird'S Eye Games
4249,Sean Adair Entertainment
4250,Orangesgame Technology Limited
4251,This Game Studio
4252,Axolittle Software
4253,"赤瞳大白猫, 猫尾巴制作组"
4254,"Nihon Falcom, Mastiff"
4255,The Wild Gentlemen
4256,Ranger Game
4257,Petriheart
4258,Laboratstudio
4259,Slimesmile
4260,Allyson De Souza Bacon
4261,Freshly Squeezed
4262,Dynamicnext
4263,Melos Han-Tani
4264,Hothead Games
4265,Arkane Austin
4266,B-Alive Gmbh
4267,Myth Entertainment
4268,"2Oo2, Vn"
4269,Sir-Tech Canada
4270,Mr. Podunkian
4271,Lab Zero Games
4272,Atico
4273,Sleepy Duck
4274,Spiffybit
4275,Pyromancers.Com
4276,Reflect Studios
4277,Null Reference Games
4278,Moral Anxiety Studio
4279,Aivik Llc
4280,Ignatus Zuk And Gonzalo Villagomez
4281,C Prompt Games
4282,Artisan Studios
4283,T.D
4284,No Matter Studios
4285,Italic Pig
4286,Tiny Roar
4287,Nachosama Games
4288,Alkemi
4289,Struckd Ag
4290,Hype Games
4291,西安曼云网络科技有限公司
4292,Aiaz Marx
4293,Vixa Games
4294,Tegridy Made Games
