id_developer,developer
232,Deaddevstellnolies
233,Bandai Namco Studios Inc.
234,Bend Studio
235,"2K Australia, Gearbox Software, Aspyr (Linux)"
236,Squad
237,"Creative Assembly, Feral Interactive"
238,Fistful Of Frags Team
239,Dennaton Games
240,"Antimatter Games, Tripwire Interactive"
241,Kw Studios
242,"Free Reign Entertainment, Free Reign Entertainment"
243,Fatshark
244,Moon Studios Gmbh
245,Frontier Developments
246,Hidden Variable Studios
247,Telltale Games
248,"Boneloaf, Rocket Science"
249,Playwing Ltd
250,Warhorse Studios
251,Ubisoft
252,"Firaxis Games, Feral Interactive (Linux)"
253,System Era Softworks
254,Muse Games
255,"Netherrealm Studios, Qloc"
256,Atelier 801
257,Grey Havens
258,Vanripper
259,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade"
260,Colibri Games
261,Frozenbyte
262,Rebuilt Games
263,Axolot Games
264,Expression Games
265,"2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)"
266,2K Czech
267,"Orteil, Dashnet"
268,Slavic Magic
269,Pixelmouse
270,Relic Entertainment
271,"Madfinger Games, A.S."
272,Flying Wild Hog
273,"Machinegames, Arkane Studios"
274,"Netherrealm Studios, Qloc, Shiver"
275,Raptor Byte
276,Arc System Works
277,"Toadman Interactive, Artplant"
278,Noble Empire Corp.
279,Trion Worlds
280,"Noio, Licorice"
281,Curve Animation
282,Lo-Fi Games
283,Bennett Foddy
284,Bloober Team Sa
285,Conchship Games
286,Red Barrels
287,Anegar Games
288,Crowbar Collective
289,Illfonic
290,Gunfire Games
291,"Fancy Games, Blackbird Interactive"
292,Io-Interactive A/S
293,Booming Tech
294,Sega
295,Blobfish
296,Interplay Inc.
297,"Cygames, Inc."
298,Chromatic Games
299,"Ironclad Games Corporation, Stardock Entertainment"
300,Platinumgames
301,New World Interactive
302,"Ghost Town Games Ltd., Team17"
303,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes"
304,"Irrational Games, Virtual Programming (Linux)"
305,"Imcgames Co.,Ltd."
306,Lucas Pope
307,Triternion
308,Ivory Tower
309,Capcom
310,Crytek Studios
311,Shawn Hitchcock
312,"Studio Wildcard, Grove Street Games, Instinct Games"
313,Rec Room
314,Fntastic
315,"Square Enix, Platinumgames Inc."
316,Hinterland Studio Inc.
317,"Iron Lore Entertainment, Thq Nordic"
318,Criterion Games
319,Leppsoft
320,Playtika Ltd.
321,Webzen Inc.
322,Evil Tortilla Games
323,Straight Back Games
324,鬼谷工作室
325,"Qloc, Fromsoftware, Inc."
326,Starbreeze Studios
327,Stainless Games Ltd.
328,Ensemble Studios
329,Tuxedo Labs
330,Nadeo
331,Rockstar New England
332,Nolla Games
333,Massive Monster
334,Galactic Cafe
335,Rebellion
336,Masangsoft
337,Asobo Studio
338,Numantian Games
339,"Team17, Mouldy Toof Studios"
340,Valofe
341,Robot Entertainment
342,U.S. Army
343,Nokta Games
344,"Codemasters, Feral Interactive (Linux)"
345,Giants Software
346,Shiro Games
347,Doubledutch Games
348,Daniel Mullins Games
349,"Blacklight Interactive, Team17"
350,Nabi Studios
351,"Wb Games Montreal, Splash Damage"
352,"Dragonfly Gf Co., Ltd"
353,Maxis™
